CustomerID,r_score,f_score,m_score,fm_score,recency,frequency,Monetory,rfm_segment
16866.0,2,5,1,3,141,3.0,332.8,Customers Needing Attention
15516.0,3,5,1,3,45,3.0,481.9,Potential Loyalists
14836.0,5,5,1,3,11,3.0,330.4,Loyal Customers
14385.0,5,5,1,3,10,3.0,955.3,Loyal Customers
16500.0,5,5,1,3,5,2.5,484.5,Loyal Customers
17961.0,4,5,3,4,22,3.2,14775.3,Loyal Customers
14180.0,5,5,3,4,11,2.1,14310.0,Champions
16168.0,5,5,3,4,11,2.3,14194.4,Champions
18241.0,5,5,3,4,10,2.4,16662.8,Champions
14397.0,5,5,3,4,3,2.4,14072.2,Champions
12569.0,5,5,3,4,3,3.1,17884.5,Champions
17312.0,2,5,2,4,139,3.0,2463.9,At Risk
17955.0,1,5,2,4,199,4.0,3333.0,Cant Lose Them
15920.0,2,5,2,4,155,4.0,3602.6,At Risk
17523.0,5,5,2,4,12,4.0,4627.5,Champions
17502.0,5,5,2,4,10,4.0,6075.6,Champions
15881.0,1,5,3,4,313,2.5,7635.8,Cant Lose Them
16725.0,1,5,3,4,303,2.3,17307.3,Cant Lose Them
15473.0,4,5,2,4,15,3.5,3477.6,Loyal Customers
13685.0,5,5,3,4,3,2.3,13194.2,Champions
17850.0,1,5,5,5,373,34.0,69026.0,Cant Lose Them
16745.0,2,5,5,5,87,2.1,155077.8,At Risk
16729.0,3,5,5,5,39,2.6,253886.6,Loyal Customers
16029.0,3,5,5,5,39,5.2,434629.9,Loyal Customers
12415.0,4,5,5,5,25,1.8,9119027.6,Champions
14849.0,4,5,5,5,22,2.1,171653.7,Champions
16422.0,4,5,5,5,18,4.3,368219.2,Champions
13018.0,4,5,5,5,17,2.8,142084.4,Champions
15005.0,4,5,5,5,16,2.3,240304.9,Champions
12681.0,4,5,5,5,15,1.8,359461.5,Champions
16814.0,4,5,5,5,15,1.8,95496.0,Champions
18172.0,4,5,5,5,15,1.9,98892.8,Champions
17068.0,5,5,5,5,13,1.8,72157.9,Champions
18041.0,5,5,5,5,12,1.8,97714.4,Champions
18118.0,5,5,5,5,11,2.2,275248.1,Champions
15615.0,5,5,5,5,11,1.9,242127.6,Champions
14667.0,5,5,5,5,11,2.1,214447.2,Champions
14156.0,5,5,5,5,10,4.3,3218478.5,Champions
15039.0,5,5,5,5,10,3.8,678965.0,Champions
12921.0,5,5,5,5,10,3.1,373797.4,Champions
16839.0,5,5,5,5,9,2.6,110648.0,Champions
14298.0,5,5,5,5,9,3.4,4285086.6,Champions
12901.0,5,5,5,5,9,2.8,76906.0,Champions
17381.0,5,5,5,5,9,2.2,104436.0,Champions
13854.0,5,5,4,5,9,1.9,19225.5,Champions
17450.0,5,5,5,5,9,3.5,1855863.1,Champions
15078.0,5,5,5,5,8,2.5,193610.5,Champions
16684.0,5,5,5,5,5,2.2,1289671.1,Champions
17811.0,5,5,5,5,5,3.3,255027.0,Champions
14194.0,5,5,5,5,5,1.9,330870.2,Champions
12841.0,5,5,5,5,5,1.9,66879.6,Champions
14096.0,5,5,5,5,5,3.4,16830967.6,Champions
17857.0,5,5,5,5,5,1.8,92735.1,Champions
15856.0,5,5,5,5,5,2.1,421952.3,Champions
13881.0,5,5,5,5,4,1.8,170958.6,Champions
16353.0,5,5,4,5,4,1.8,40193.0,Champions
